Drill Listing
=============
Drill: .007  Tool: 1  Feed: 0  Speed: 0
X 2021030  Y 1519203
X 2023135  Y 1519336
X 2028866  Y 1519386
X 2028952  Y 1523818
X 2031867  Y 1523909
X 2028145  Y 1525393
X 2030704  Y 1525433
X 2031283  Y 1527185
X 2027258  Y 1527264
X 2025486  Y 1527264
X 2029090  Y 1527796
X 2030276  Y 1529125
X 2032500  Y 1529337
X 2028440  Y 1529984
X 2030172  Y 1531097
X 2032150  Y 1531128
X 2034098  Y 1531530
X 2018722  Y 1532336
X 2028502  Y 1533107
X 2030944  Y 1533230
X 2032768  Y 1533261
X 2019207  Y 1536219
X 2029674  Y 1536827
X 2032395  Y 1537631
X 2034219  Y 1537662
X 2019207  Y 1538937
X 2020857  Y 1539423
X 2022993  Y 1539617
X 2024837  Y 1539714
X 2028041  Y 1539908
X 2030613  Y 1541704
X 2027604  Y 1541898
X 2020469  Y 1542044
X 2025565  Y 1542238
X 2023041  Y 1542335
X 2034544  Y 1542675
X 2032554  Y 1543160
X 2020760  Y 1544082
X 2023575  Y 1544519
X 2030128  Y 1544664
X 2027313  Y 1544664
X 2034205  Y 1545150
X 2025452  Y 1545737
X 2020420  Y 1546266
X 2033719  Y 1547091
X 2029448  Y 1547285
X 2031535  Y 1547431
X 2026730  Y 1547480
X 2024206  Y 1547480
X 2021391  Y 1547771
X 2024700  Y 1549573
X 2020769  Y 1549573
X 2029306  Y 1549803
X 2027306  Y 1549803
X 2031306  Y 1549803

Drill: .008  Tool: 2  Feed: 0  Speed: 0
X 2013111  Y 1507141
X 1983896  Y 1515015
X 2013003  Y 1516590
X 2013003  Y 1521314

Drill: .01  Tool: 3  Feed: 95  Speed: 300
X 2008891  Y 1527930
X 2003114  Y 1530065
X 1983884  Y 1532920
X 1981003  Y 1532920
X 1978044  Y 1532920

Drill: .02165  Tool: 4  Feed: 197  Speed: 550
X 1981475  Y 1474287
X 1986475  Y 1474287
X 1991475  Y 1474287
X 1968503  Y 1480193
X 1968503  Y 1485193
X 1968503  Y 1490193
X 1968503  Y 1495193
X 1968503  Y 1500193
X 1968503  Y 1505193
X 1968503  Y 1510193
X 1968503  Y 1515193
X 1968503  Y 1520193
X 1968503  Y 1525193
X 1968503  Y 1530193
X 1968503  Y 1535193
X 1968503  Y 1545193
X 1996475  Y 1474287
X 2006475  Y 1474287
X 2011475  Y 1474287
X 2001475  Y 1474287
X 2016475  Y 1474287
X 2021475  Y 1474287
X 2026475  Y 1474287
X 2039383  Y 1480193
X 2039369  Y 1485193
X 2039369  Y 1490193
X 2039369  Y 1495193
X 2039369  Y 1500193
X 2039369  Y 1505193
X 2039369  Y 1510193
X 2039369  Y 1520193
X 2039369  Y 1525193
X 2039369  Y 1530193
X 2039369  Y 1535193
X 2039369  Y 1540193
X 2039369  Y 1545193

Drill: .02756  Tool: 5  Feed: 197  Speed: 550
X 2039369  Y 1515193
X 1968503  Y 1540193

End of Listing
